OBJECTID,ZIPCODE,GIS_ID,WEB_URL,EPA_URL,NAME,TYPE,UNINSURED_POPULATION,MEDICAID_RECIPIENT,LABEL,ZIP_CODE_TEXT,Shape_Length,Shape_Area,POP_2000,POP_2010
63,20240,ZIP_240,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20240,DEPARTMENT OF THE INTERIOR,UNIQUE,0,0,20240,20240,1620.80456084585,47598.5597423992,,
64,20242,ZIP_242,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20242,NATIONAL PARK SERVICE,UNIQUE,0,0,20242,20242,1400.77681110041,45778.4270443827,,
65,20245,ZIP_245,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20245,OFFICE OF SURFACE MINING,UNIQUE,0,0,20245,20245,309.043724459591,5654.75533470554,,
66,20250,ZIP_250,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20250,DEPARTMENT OF AGRICULTURE,UNIQUE,0,0,20250,20250,1019.80646488127,58999.7504238185,,
67,20254,ZIP_254,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20254,SOCIAL SECURITY ADMINISTRATION,UNIQUE,0,0,20254,20254,48.4730837938243,143.6354639292,,
68,20260,ZIP_260,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20260,UNITED STATES POSTAL SERVICE,UNIQUE,0,0,20260,20260,897.690416881628,12752.9838387214,,
69,20261,ZIP_261,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20261,UNITED STATES POSTAL SERVICE,UNIQUE,0,0,20261,20261,48.5193688373941,147.054505020113,,
70,20268,ZIP_268,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20268,POSTAL REGULATORY COMMISSION,UNIQUE,0,0,20268,20268,53.9102894878399,181.163460962479,,
71,20001,ZIP_001,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20001, ,STANDARD,3287,10168,20001,20001,23174.5010966401,5368043.83399176,33550,39296
72,20002,ZIP_002,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20002, ,STANDARD,2786,15950,20002,20002,26929.1001114169,13455138.0316321,49333,51252
73,20003,ZIP_003,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20003, ,STANDARD,914,2989,20003,20003,20213.9641825205,7115282.19568272,23122,26751
74,20004,ZIP_004,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20004,,STANDARD,9,7,20004,20004,22687.8267414669,4027129.93790125,901,1622
75,20005,ZIP_005,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20005, ,STANDARD,522,1301,20005,20005,8911.20578177212,1129543.19024243,10610,13335
76,20006,ZIP_006,http://www.usps.gov,http://maps.epa.gov/scripts/.esrimap?name=enviroMapperN&Cmd=ZoomInByZip&CmdOld=ZoomInByScalar&threshold=360.0&zoomFactor=2.0&layersCode=001&queryCode=99&fipsCode=20006, ,STANDARD,11,16,20006,20006,10260.9073558113,705228.069904269,1874,2705
